url,http_code,final_url,class,in_docs,err
http://ustwo.com/ppp/,404,https://ustwo.com/ppp/,DEAD,3.DESIGNING For The Web.md,
http://danielmall.com/articles/svg-workflow-for-designers/,404,https://danielmall.com/articles/svg-workflow-for-designers/,DEAD,3.DESIGNING For The Web.md,
http://www.markboulton.co.uk/journal/responsive-summit-workflow,200,https://markboulton.co.uk/journal/responsive-summit-workflow/,ACTIVE,3.DESIGNING For The Web.md,
http://sebastien-gabriel.com/designers-guide-to-dpi/,200,https://www.sebastien-gabriel.com/designers-guide-to-dpi/,ACTIVE,3.DESIGNING For The Web.md,
http://www.smashingmagazine.com/2014/10/15/create-assets-for-multiple-scale-factors/,200,https://www.smashingmagazine.com/2014/10/create-assets-for-multiple-scale-factors/,ACTIVE,3.DESIGNING For The Web.md,
http://styletil.es/,429,http://styletil.es/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://mereader.tumblr.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),2.E-Reader.md,max_attempts
https://medium.com/design-ux,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://ixdchecklist.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://webflow.com/,200,https://webflow.com/,ACTIVE,3.DESIGNING For The Web.md,
http://az-project.org/,200,https://truthlect.com/cleansing-50s/,REDIRECTED,3.DESIGNING For The Web.md,
https://www.behance.net/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://bjango.com/articles/photoshop/,200,https://bjango.com/articles/photoshop/,ACTIVE,3.DESIGNING For The Web.md,
http://danielmall.com/articles/visual-inventory/,404,https://danielmall.com/articles/visual-inventory/,DEAD,3.DESIGNING For The Web.md,
http://typecast.com/seminars/post-comp,403,https://www.monotype.com/products/mosaic,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://www.guideguide.me/,200,https://guideguide.me/,ACTIVE,3.DESIGNING For The Web.md,
http://thenounproject.com/,200,https://thenounproject.com:443/,REDIRECTED,3.DESIGNING For The Web.md,
https://medium.com/the-future-interface/the-future-interface-design-to-make-technology-human-f4287574ee6b,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://sfdc-styleguide.herokuapp.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
https://kuler.adobe.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://thenextweb.com/lifehacks/2011/07/17/the-pen-paper-the-most-underrated-creativity-and-productivity-tool/,403,http://thenextweb.com/lifehacks/2011/07/17/the-pen-paper-the-most-underrated-creativity-and-productivity-tool/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://viljamis.com/blog/2012/responsive-workflow/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://modulargrid.org/#panel,200,https://modulargrid.org:443/,REDIRECTED,3.DESIGNING For The Web.md,
http://cssguidelin.es/,200,https://cssguidelin.es/,ACTIVE,3.DESIGNING For The Web.md,
http://color.hailpixel.com/,200,https://color.hailpixel.com/,ACTIVE,3.DESIGNING For The Web.md,
http://bohemiancoding.com/sketch/,200,https://www.sketch.com/,REDIRECTED,3.DESIGNING For The Web.md,
http://screensiz.es/,200,https://screensiz.es/,ACTIVE,3.DESIGNING For The Web.md,
http://realmacsoftware.com/ember,200,https://www.realmacsoftware.com/,ACTIVE,3.DESIGNING For The Web.md,
http://www.teehanlax.com/tools/,200,https://teehanlax.com/tools/,ACTIVE,3.DESIGNING For The Web.md,
http://lab.maltewassermann.com/viewport-resizer/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://littleipsum.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://photoshopetiquette.com/,200,https://photoshopetiquette.com/,ACTIVE,3.DESIGNING For The Web.md,
http://sneakpeekit.com/,200,http://sneakpeekit.com/,ACTIVE,3.DESIGNING For The Web.md,
https://medium.com/@monteiro/13-ways-designers-screw-up-client-presentations-51aaee11e28c,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://trentwalton.com/2012/06/19/fluid-type/,200,https://trentwalton.com/2012/06/19/fluid-type/,ACTIVE,3.DESIGNING For The Web.md,
http://sizecalc.com/,200,https://www.bookyourprice.com/,REDIRECTED,3.DESIGNING For The Web.md,
http://subtlepatterns.com/,403,https://www.toptal.com/designers/subtlepatterns/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://www.fonts.com/,200,https://www.fonts.com/,ACTIVE,3.DESIGNING For The Web.md,
http://stylemanual.org/,200,https://stylemanual.org/,ACTIVE,3.DESIGNING For The Web.md,
http://brick.im/,200,https://brick.im/,ACTIVE,3.DESIGNING For The Web.md,
http://elliotjaystocks.com/blog/a-better-photoshop-grid-for-responsive-web-design/,200,https://elliotjaystocks.com/blog/a-better-photoshop-grid-for-responsive-web-design/,ACTIVE,3.DESIGNING For The Web.md,
http://type-scale.com/,200,https://typescale.com/,REDIRECTED,3.DESIGNING For The Web.md,
http://webtypography.net/toc/,200,http://webtypography.net/toc,ACTIVE,3.DESIGNING For The Web.md,
http://www.fontsquirrel.com/,202,https://www.fontsquirrel.com/,NEEDS_MANUAL_REVIEW(unusual_code=202),3.DESIGNING For The Web.md,
http://www.slideshare.net/stephenhay/mobilism2012,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://typecast.com/,403,https://www.monotype.com/products/mosaic,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://www.smashingmagazine.com/2009/04/03/8-simple-ways-to-improve-typography-in-your-designs/,200,https://www.smashingmagazine.com/2009/04/8-simple-ways-to-improve-typography-in-your-designs/,ACTIVE,3.DESIGNING For The Web.md,
http://modularscale.com/,200,https://www.modularscale.com/,ACTIVE,3.DESIGNING For The Web.md,
http://www.smashingmagazine.com/2011/11/09/establishing-your-grid-in-photoshop/,200,https://www.smashingmagazine.com/2011/11/establishing-your-grid-in-photoshop/,ACTIVE,3.DESIGNING For The Web.md,
https://typekit.com/,200,https://fonts.adobe.com/?ref=tk.com,REDIRECTED,3.DESIGNING For The Web.md,
http://iamralpht.github.io/physics,200,http://iamralpht.github.io/physics/,ACTIVE,3.DESIGNING For The Web.md,
http://www.typography.com/cloud/welcome/,200,https://www.typography.com/webfonts,ACTIVE,3.DESIGNING For The Web.md,
http://bradfrostweb.com/blog/post/the-post-psd-era/,200,https://createaprowebsite.com/how-to-use-wordpress-tutorial/,REDIRECTED,3.DESIGNING For The Web.md,
http://www.typegenius.com/,403,https://www.canva.com/font-combinations/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
https://developer.apple.com/design/tips/,200,https://developer.apple.com/design/tips/,ACTIVE,3.DESIGNING For The Web.md,
https://medium.com/@janoskoos/my-vector-workflow-dd1357d28d7c,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://www.smashingmagazine.com/2013/10/23/smart-transitions-in-user-experience-design/,200,https://www.smashingmagazine.com/2013/10/smart-transitions-in-user-experience-design/,ACTIVE,3.DESIGNING For The Web.md,
http://alistapart.com/article/ui-animation-and-ux-a-not-so-secret-friendship,200,https://alistapart.com/article/ui-animation-and-ux-a-not-so-secret-friendship/,ACTIVE,3.DESIGNING For The Web.md,
http://www.smashingmagazine.com/2014/03/28/design-principles-visual-perception-and-the-principles-of-gestalt/,200,https://www.smashingmagazine.com/2014/03/design-principles-visual-perception-and-the-principles-of-gestalt/,ACTIVE,3.DESIGNING For The Web.md,
http://markgeyer.com/pres/the-art-of-ui-animations,200,https://markgeyer.com/pres/the-art-of-ui-animations/,ACTIVE,3.DESIGNING For The Web.md,
http://www.zambetti.com/projects/liveview/,301,http://www.zambetti.com/projects/liveview/,REDIRECTED,3.DESIGNING For The Web.md,
http://www.lukew.com/ff/entry.asp?1927=,200,https://www.lukew.com/ff/entry.asp?1927=,ACTIVE,3.DESIGNING For The Web.md,
http://www.lukew.com/ff/entry.asp?1085,200,https://www.lukew.com/ff/entry.asp?1085,ACTIVE,3.DESIGNING For The Web.md,
http://blog.uxpin.com/,200,https://www.uxpin.com/studio/,REDIRECTED,3.DESIGNING For The Web.md,
http://boxesandarrows.com/,200,https://boxesandarrows.com/,ACTIVE,3.DESIGNING For The Web.md,
http://www.smashingmagazine.com/2014/05/09/efficiently-simplifying-navigation-systems/,200,https://www.smashingmagazine.com/2014/05/efficiently-simplifying-navigation-systems/,ACTIVE,3.DESIGNING For The Web.md,
http://goodui.org/,200,http://goodui.org/,ACTIVE,3.DESIGNING For The Web.md,
http://uxdiogenes.com/blog/the-three-laws-of-interaction-design,200,https://uxdiogenes.com/blog/the-three-laws-of-interaction-design,ACTIVE,3.DESIGNING For The Web.md,
http://www.nngroup.com/,200,https://www.nngroup.com/,ACTIVE,3.DESIGNING For The Web.md,
http://www.nngroup.com/articles/ten-usability-heuristics/,200,https://www.nngroup.com/articles/ten-usability-heuristics/,ACTIVE,3.DESIGNING For The Web.md,
http://madebyvadim.tumblr.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://www.magneticzero.com/5-lessons-in-ui-design-by-magnetic-zero/#.VGjEtFfF9vo,200,https://www.hugedomains.com/domain_profile.cfm?d=magneticzero.com,REDIRECTED,3.DESIGNING For The Web.md,
http://usabilitypost.com/,200,https://usabilitypost.com/,ACTIVE,3.DESIGNING For The Web.md,
http://www.sitepoint.com/easy-checks-website-accessibility/,403,https://www.sitepoint.com/easy-checks-website-accessibility/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://www.sitepoint.com/ethical-dilemmas-web-accessibility/,403,https://www.sitepoint.com/ethical-dilemmas-web-accessibility/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
http://contrastchecker.com/,200,https://contrastchecker.com/,ACTIVE,3.DESIGNING For The Web.md,
http://leaverou.github.io/contrast-ratio,404,https://projects.verou.me/contrast-ratio,DEAD,3.DESIGNING For The Web.md,
http://www.checkmycolours.com/,200,https://www.checkmycolours.com/,ACTIVE,3.DESIGNING For The Web.md,
http://www.sitepoint.com/tips-accessible-svg/,403,https://www.sitepoint.com/tips-accessible-svg/,NEEDS_MANUAL_REVIEW,3.DESIGNING For The Web.md,
https://www.google.com/fonts,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://froont.com/,0,,NEEDS_MANUAL_REVIEW(network_unreachable),3.DESIGNING For The Web.md,max_attempts
http://read-able.com/,200,https://www.webfx.com/tools/read-able/,REDIRECTED,3.DESIGNING For The Web.md,
